Year,Month,Category,Title,Author,Publisher,Price,Publish_Date,Sales_Index,Rating,Pages,Gender,Age,month,Publish_Month,Page_cat,Price_cat
2024,1,가정과 살림,디저트 사전,나가이 후미에 저/이노우에 아야 그림/김수정 역,윌스타일(WILLSTYLE),20700,2024년 01월,2718,10,252,0,20,6,1,250-300,20000-25000
2024,1,가정과 살림,오트밀 비건 베이킹,주선화(까망레시피) 저,용감한까치,25200,2023년 10월,2358,9.3,296,0,20,6,10,250-300,25000+
2024,1,가정과 살림,드루이드가 되고 싶은 당신을 위한 안내서,프로개 저,드루이드아일랜드,21600,2023년 09월,26277,10,400,0,20,6,9,350-400,20000-25000
2024,1,가정과 살림,완전 배출,조승우 저,사이몬북스,17100,2023년 09월,128343,9.8,304,0,20,6,9,300-350,15000-17500
2024,1,가정과 살림,임신 출산 육아 대백과 최신개정판,편집부 저,삼성출판사,17550,2023년 08월,106542,9.3,432,0,30,6,8,400+,17500-20000
2024,1,가정과 살림,뿐이 토핑 이유식,정주희 저/이수진 감수,서사원,26820,2024년 03월,89208,9.8,640,0,30,6,3,400+,25000+
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,288,0,30,6,5,250-300,15000-17500
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,260,0,30,6,2,250-300,15000-17500
2024,1,가정과 살림,삐뽀삐뽀 119 이유식,하정훈 저,유니책방,17010,2017년 12월,96120,9.8,376,0,30,6,12,350-400,15000-17500
2024,1,가정과 살림,삐뽀삐뽀 119 소아과,하정훈 저,유니책방,26820,2016년 07월,55998,9.7,317,0,30,6,7,300-350,25000+
2024,1,가정과 살림,시니맘의 참 잘 먹는 10분 유아식,시니맘 저,서사원,16920,2024년 07월,14940,10,232,0,30,6,7,200-250,15000-17500
2024,1,가정과 살림,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,15750,2023년 12월,159582,9.4,256,0,30,6,12,250-300,15000-17500
2024,1,가정과 살림,부모의 어휘력,김종원 저,카시오페아,17100,2024년 06월,40947,10,312,0,30,6,6,300-350,15000-17500
2024,1,가정과 살림,라키비움J 블루,전은주. 표유진. 오현수. 이미리. 이시내 저 외 3명 정보 더 보기/감추기,제이포럼,17100,2024년 07월,4200,10,224,0,30,6,7,200-250,15000-17500
2024,1,가정과 살림,하버드 동그라미 육아,지니 킴 저,웨일북,17820,2024년 07월,1290,10,360,0,30,6,7,350-400,17500-20000
2024,1,가정과 살림,과학 육아 57,호시 도모히로 저/신찬 역,21세기북스,16200,2024년 06월,1302,9.8,204,0,30,6,6,200-250,15000-17500
2024,1,가정과 살림,도란의 40주 임신 출산 다이어리,도란 저/정선화 감수,다락원,17100,2024년 06월,543,9.9,384,0,30,6,6,350-400,15000-17500
2024,1,가정과 살림,홀썸의 집밥 예찬,홀썸모먼트 저,다산라이프,22500,2024년 05월,63837,9.8,336,0,30,6,5,300-350,20000-25000
2024,1,가정과 살림,최민준의 아들코칭 백과,최민준 저,위즈덤하우스,16920,2023년 08월,171735,9.7,376,0,30,6,8,350-400,15000-17500
2024,1,가정과 살림,이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,16920,2022년 10월,175182,9.7,384,0,30,6,10,350-400,15000-17500
2024,1,가정과 살림,어떻게 말해줘야 할까,오은영 저/차상미 그림,김영사,15750,2020년 10월,46074,9.6,400,0,30,6,10,350-400,15000-17500
2024,1,가정과 살림,엄마. 나는 자라고 있어요,헤티 판 더 레이트. 프란스 X. 프로에이. 자비에라 프로에이 저/유영미 역/김수연 감수,북폴리오,19800,2019년 12월,21255,9.6,476,0,30,6,12,400+,17500-20000
2024,1,가정과 살림,세상 쉽고 맛있는 튼이 이유식,정주희 저,서사원,19800,2019년 01월,25506,10,448,0,30,6,1,400+,17500-20000
2024,1,가정과 살림,초3부터 SKY는 시작됩니다,하지원 저,다산에듀,17100,2024년 06월,7740,10,320,0,30,6,6,300-350,15000-17500
2024,1,가정과 살림,야매요리천재 서차장의 집밥 레시피,서경진 저,e비즈북스,17550,2024년 07월,600,10,264,0,30,6,7,250-300,17500-20000
2024,1,가정과 살림,단이네 순한맛 유아식,정신혜 저,아퍼블리싱,19350,2024년 07월,2370,9.8,420,0,30,6,7,400+,17500-20000
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,9.7,288,0,40,6,5,250-300,15000-17500
2024,1,가정과 살림,밥을 지어요,김혜경 저,김영사,16020,2018년 02월,231933,8.2,260,0,40,6,2,250-300,15000-17500
2024,1,가정과 살림,국어 잘하는 아이가 이깁니다,나민애 저,김영사,15750,2024년 03월,151218,9.8,276,0,40,6,3,250-300,15000-17500
2024,1,가정과 살림,부모의 어휘력,김종원 저,카시오페아,17100,2024년 06월,40947,10,312,0,40,6,6,300-350,15000-17500
2024,1,가정과 살림,김대석 셰프의 집밥 레시피 2,김대석 저,경향비피,16200,2024년 07월,10956,10,213,0,40,6,7,200-250,15000-17500
2024,1,가정과 살림,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,15750,2023년 12월,159582,9.4,256,0,40,6,12,250-300,15000-17500
2024,1,가정과 살림,초3부터 SKY는 시작됩니다,하지원 저,다산에듀,17100,2024년 06월,7740,9.6,320,0,40,6,6,300-350,15000-17500
